pop,Source,1,2,3,4,5,6,7,8,9,10,11,12,LP_1,LP_2,LP_3
LL,NA,NA,NA,-0.00400095,-0.00400095,-0.00400095,-0.00400095,-0.00400095,-0.00400095,-0.00400095,-0.00400095,NA,NA,NA,NA,NA
LL,NA,NA,NA,-0.01127307,-0.01127307,-0.01127307,-0.01127307,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.010391561,0.010391561,0.010391561,0.010391561,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,-0.023573742,-0.023573742,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,-0.002023976,-0.002023976,-0.002023976,-0.002023976,-0.002023976,-0.002023976,-0.002023976,-0.002023976,-0.002023976,-0.002023976,NA,NA,NA
LL,NA,NA,NA,0.024707699,0.024707699,0.024707699,0.024707699,0.024707699,0.024707699,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,-0.006611687,-0.006611687,-0.006611687,-0.006611687,-0.006611687,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.003885066,0.003885066,0.003885066,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.011691435,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,0.01177153,0.01177153,0.01177153,0.01177153,0.01177153,0.01177153,0.01177153,0.01177153,0.01177153,0.01177153,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,-0.000950472,-0.000950472,-0.000950472,-0.000950472,-0.000950472,-0.000950472,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,-0.004967303,-0.004967303,-0.004967303,-0.004967303,-0.004967303,-0.004967303,-0.004967303,-0.004967303,-0.004967303,NA,NA,NA
LL,NA,NA,NA,NA,-0.004145167,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,-0.021837736,-0.021837736,-0.021837736,-0.021837736,-0.021837736,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,0.010993219,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.019399921,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.016406915,0.016406915,0.016406915,0.016406915,0.016406915,0.016406915,0.016406915,0.016406915,0.016406915,NA,NA,NA
LL,NA,NA,NA,NA,-0.030278414,-0.030278414,-0.030278414,-0.030278414,-0.030278414,-0.030278414,-0.030278414,-0.030278414,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.015911428,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.002126573,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,-0.037437567,-0.037437567,-0.037437567,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.012637048,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.023030974,0.023030974,0.023030974,0.023030974,0.023030974,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,0.030800764,0.030800764,0.030800764,0.030800764,0.030800764,0.030800764,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.011813797,0.011813797,0.011813797,0.011813797,NA,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,0.022106871,0.022106871,0.022106871,0.022106871,0.022106871,NA,NA,NA,NA,NA,NA,NA
LL,NA,NA,NA,NA,NA,NA,0.013160345,NA,NA,NA,NA,NA,NA,NA,NA,NA
