"","pop","env","trt","CS","PC1","PC2","PC3","PC4","PC5","PC6","PC7","PC8","PC9","PC10","PC11","PC12","PC13","PC14","PC15","PC16","PC17","PC18","PC19","PC20","PC21","PC22","PC23","PC24","PC25","PC26","PC27","PC28"
"LGH-C215AHN0","GH","lab","no_cue",17.5506927434859,0.0105068274157399,-0.00154732468901569,0.000150327289278416,-0.00457113017653573,0.00647707667698509,-0.00197693143646151,0.000210902572200949,0.000440976838589371,-0.00696846050102707,0.000519619819726733,0.00507601123463692,0.000791254529849063,0.000620256867102676,-0.000146525478027522,6.21931130882608e-05,-0.000897965061988925,0.000495130025752145,-0.000233308057594273,-0.00105594096016489,-0.00108797964504223,-0.000130826057306094,-0.000137033453307724,-5.93900695094638e-05,-6.32823467008071e-05,-6.65022507548296e-17,-7.22620747961589e-17,2.02745806254789e-17,-1.75098650856409e-17
"LGH-C216AHN0","GH","lab","no_cue",17.1330642223744,-0.0214458763264902,-0.0130387780568769,-0.00821100730138713,-0.00580447797538196,0.00619318569982092,0.00249055700928264,0.000259609301299962,0.00023048774372092,-0.00304193146287352,-0.000539251042668717,-0.00209784236657351,0.00451785795501643,0.00186733458450685,0.00212668868103534,0.000570003293298868,0.000214513016080215,-0.000348514244074982,-0.00136170417989381,-0.00193365847761433,-0.000349700989527492,-0.000175903214314914,-0.000204609397034505,-1.59423601634635e-05,-5.38439137982105e-05,7.57755674613697e-17,1.13705702839417e-17,1.30104260698261e-17,-3.85027296503915e-17
"LGH-C217AHN0","GH","lab","no_cue",16.7955835349967,-0.00900586243461934,-0.00452927027389721,-0.0158163116312571,-0.0141825216659544,0.0116338452913331,0.00707255687042981,0.00526568689771987,-0.00269268797179265,0.00250429121096297,0.00169745975937135,0.000538580110411113,0.00644186859037462,-0.00100769356716762,-0.00142864140304535,0.00154378868998039,0.00317429552701376,-0.000617044278982025,0.00287354999190192,0.00110594390854224,0.000426409660448331,-0.00011315629082373,0.000150005405067727,-5.48117473753404e-05,-8.6905881210415e-05,2.13723353251205e-17,-5.74085050331075e-17,-5.31259064517897e-18,1.73472347597681e-18
"LGH-C218BHN0","GH","lab","no_cue",17.3319874642968,0.0203320664777913,-0.0147771783249087,0.0177590006099618,-0.00963721771390433,-0.0025333218070646,0.00941339306663608,-0.00459369602460594,0.000275180441749392,0.00790979319953086,0.00200316944160481,0.002431466629954,0.00280225523322183,0.0023894560078848,0.000320379598954574,0.000870816567081978,-0.000204929125100198,0.000879629055643039,-0.000522280756570922,-0.000273877147267514,0.000494940233206047,0.000843058840156193,2.06996924356586e-05,-0.000106536820528913,-3.4709585508019e-05,-3.42878937048541e-18,-3.27429056090622e-17,-1.84314369322536e-17,-6.23416249179165e-18
"LGH-C220BHN0","GH","lab","no_cue",16.3938498454763,0.00420566086663928,0.00626123669328365,-0.00654828924361815,-0.00869754482713886,0.000591993639375788,-0.00609158982146992,-0.00376281993910657,0.00323092325938666,-0.00492923883241558,0.00379147336143758,0.00403185814594461,0.00284794651611311,-0.00119673089495562,0.00297616567896689,1.49933233238211e-05,-0.000287130450999593,-0.00118856456517677,0.000235888921416101,-0.00015224169140571,0.000286583517472802,-0.000151608047994524,-7.57871648250381e-05,-2.95715266495378e-05,8.189087574717e-06,5.42372136785874e-17,-6.39543756494887e-17,1.55854062294791e-17,-3.18823201346519e-17
"LGH-C221AHN0","GH","lab","no_cue",18.1399966849721,-0.0155748016417912,0.000225187085914181,0.00218438433177539,0.000497838184455015,0.00310674306775548,-0.0119733614923401,-0.00121720949122605,0.00191556056517372,0.00290475512507185,-0.00090080921595267,0.00169121454640264,0.00067552376114059,-0.00253933017218992,0.00207315056143634,-0.0023812848715247,-0.003141002935133,0.00220880504535988,2.97653811092933e-05,-6.35991521900552e-05,-0.000608788107361613,-0.000125161109758667,-0.000125192370174225,-4.58510152680476e-05,-1.58585563568782e-05,-4.68917439599981e-18,-8.51098705401121e-18,1.53956708492942e-17,4.18502038579405e-17
"LGH-C222AHN0","GH","lab","no_cue",16.5330021446085,-0.00212856523610862,-0.0054806218511776,-0.0113747792577928,-0.00279845728327614,-0.00181324785601116,-0.000718265679341177,0.00288843834630623,0.00212571666007431,0.000311078477510881,-0.0078674376466418,0.00373072493019154,-0.0037984712206904,0.00121770467074405,0.00505902258909151,0.00266390164777326,0.000967427070753384,-0.00182043143486817,0.000804110528957986,0.000854300260323834,0.000919736559155648,-0.000182349426032255,-0.000133870369572982,-0.00010235959215106,0.00021665894228921,6.49199932093586e-17,-8.32125167382625e-18,-2.58311167594671e-17,-3.81368114171776e-17
"LGH-C223AHN0","GH","lab","no_cue",18.1634515620072,-0.0148763829712366,-0.00824763702195225,-0.00032916121142166,-0.00548893984564696,-0.00232098178478752,0.00278429277134236,0.00695429663300816,-0.00397021671401347,-0.000609172548336305,0.00171808291884177,0.0033408133414288,0.00388262797708227,0.00245309062403102,-0.000110757364283525,-0.000914720599788498,-0.000130617447631366,-0.000259628626334172,0.00213491954304541,-0.00118738644218449,0.00140186729813254,-9.75437119393646e-05,1.40649330594189e-05,4.26427006825946e-05,-5.72527795489014e-05,-8.51717039452617e-17,-5.64666043957607e-17,-4.54687286086108e-18,9.16828462108055e-18
"LGH-C224AHN0","GH","lab","no_cue",17.8963186473023,-0.0201119472597612,0.0150579063792937,-0.00475235301761779,-0.000282760747933905,-0.00401136711400881,0.00363654722105925,-0.00481254683267784,-0.00233791502646838,-0.00365964389826556,-0.00220289202890072,-0.00313883390079828,0.00580298552585338,0.00166348703919876,0.00187558645807777,-0.000600574478711244,-0.00016951803378826,-0.00198286078837171,0.000387706501153514,-0.00021198931421944,0.000211710893367417,-6.36028835334363e-05,-9.36901310831062e-05,0.000101786711882434,-3.83793183629692e-05,-4.61328024392582e-17,-8.28059409235804e-17,2.01661604082304e-17,-3.2498960120253e-17
"LGH-C226AHN0","GH","lab","no_cue",18.4702308621233,-0.0171346088365999,-0.00934063245466324,0.0172287347584236,-0.00465175747295108,-0.00598834390858039,-0.00759334444754503,0.00269522053835925,0.00262355325474805,0.000682257798075904,-0.00757637435728964,0.00224226942655447,0.00239447728740802,-0.000621544633520315,0.00536046082904245,-0.00104966853357573,-0.000871845685901251,0.000838778886933668,-0.000429757321929672,-0.000763411069294804,-0.000181423803851397,-3.44003847699113e-05,-0.000177454138408154,8.55094107778356e-05,-2.22964888180472e-05,-3.93023287525995e-19,-2.10335221462188e-17,6.36426675248991e-17,-6.42389787197661e-17
